id,name,energy_kcal_per_100g,unit,serving_size,gtin13,image_url,product_url,source,created_at
243,fresh dates,139,g,24,,https://lokcal.app/images/243_fresh_dates.jpg,,nevo,
244,fresh goat cheese,207,g,30,,https://lokcal.app/images/244_fresh_goat_cheese.jpg,,nevo,
245,fresh sheep cheese,238,g,30,,https://lokcal.app/images/245_fresh_sheep_cheese.jpg,,nevo,
246,frikandel speciaal,230,g,100,,https://lokcal.app/images/246_frikandel_speciaal.jpg,,nevo,
247,fruit biscuit,396,g,30,,https://lokcal.app/images/247_fruit_biscuit.jpg,,nevo,
248,forest fruit,39,g,100,,https://lokcal.app/images/248_forest_fruit.jpg,,nevo,
249,fruit in juice,48,g,125,,https://lokcal.app/images/249_fruit_in_juice.jpg,,nevo,
250,fruit in syrup,65,g,125,,https://lokcal.app/images/250_fruit_in_syrup.jpg,,nevo,
251,soaked dried fruit,96,g,50,,https://lokcal.app/images/251_soaked_dried_fruit.jpg,,nevo,
252,cheese spread,260,g,30,,https://lokcal.app/images/252_cheese_spread.jpg,,nevo,
253,gateau,316,g,150,,https://lokcal.app/images/253_gateau.jpg,,nevo,
254,gelatin,352,g,7,,https://lokcal.app/images/254_gelatin.jpg,,nevo,
255,sweet pickled gherkins,27,g,50,,https://lokcal.app/images/255_sweet_pickled_gherkins.jpg,,nevo,
256,glasswort,14,g,50,,https://lokcal.app/images/256_glasswort.jpg,,nevo,
257,unprepared gnocchi,174,g,125,,https://lokcal.app/images/257_unprepared_gnocchi.jpg,,nevo,
